Căn hộ,Số công tơ,Chỉ số,Giờ,Đến ngày
P1.0602,24820456,101.21,22:20:32,02/10/2025
P1.0603,16840534,113.66,22:20:32,02/10/2025
P1.0604,15811475,69.80,22:20:32,02/10/2025
P1.0605,15811473,5.74,22:20:32,02/10/2025
P1.0606,15811474,61.61,22:20:32,02/10/2025
P1.0607,15811472,200.87,22:20:32,02/10/2025
P1.0608,15811471,170.37,22:20:32,02/10/2025
P1.0609,16840761,38.83,22:20:32,02/10/2025
P1.0610,15813333,36.54,23:29:45,02/10/2025
P1.0611,15813331,60.47,23:29:45,02/10/2025
P1.0612,15811466,104.95,23:29:45,02/10/2025
P1.0612A,15811465,353.18,23:29:45,02/10/2025
P1.0612B,15813332,57.09,23:29:45,02/10/2025
P1.0615,15813315,476.54,23:29:45,02/10/2025
P1.0616,15811469,20.43,23:29:45,02/10/2025
P1.0617,15813338,38.33,23:29:45,02/10/2025
P1.0701,17805146,259.78,22:20:32,02/10/2025
P1.0702,15813350,303.16,22:20:32,02/10/2025
P1.0703,15813341,8.61,22:20:32,02/10/2025
P1.0704,17805148,0.00,22:20:32,02/10/2025
P1.0705,15813342,15.56,22:20:32,02/10/2025
P1.0706,24831116,27.23,22:20:32,02/10/2025
P1.0707,15813345,10.65,22:20:32,02/10/2025
P1.0708,17805147,206.10,22:20:32,02/10/2025
P1.0709,15813346,104.07,22:20:32,02/10/2025
P1.0710,15814158,50.39,23:29:45,02/10/2025
P1.0711,15813335,206.67,23:29:45,02/10/2025
P1.0712,15813334,202.85,23:29:45,02/10/2025
P1.0712A,15813336,33.85,23:29:45,02/10/2025
P1.0712B,15813337,100.73,23:29:45,02/10/2025
P1.0715,21724676,159.34,23:29:45,02/10/2025
P1.0716,15813326,11.57,23:29:45,02/10/2025
P1.0717,15813340,82.33,23:29:45,02/10/2025
P1.0801,15813323,23.32,22:20:32,02/10/2025
P1.0802,16840535,83.46,22:20:32,02/10/2025
P1.0803,15813325,0.98,22:20:32,02/10/2025
P1.0804,16839038,324.43,22:20:32,02/10/2025
P1.0805,15813319,124.89,22:20:32,02/10/2025
P1.0806,16826871,73.94,22:20:32,02/10/2025
P1.0807,25803522,0.36,22:20:32,02/10/2025
P1.0808,15813327,21.70,22:20:32,02/10/2025
P1.0809,24831340,26.86,22:20:32,02/10/2025
P1.0810,25803630,5.97,23:29:45,02/10/2025
P1.0811,24820688,99.90,23:29:45,02/10/2025
P1.0812,15813320,153.78,23:29:45,02/10/2025
P1.0812A,15811461,93.26,23:29:45,02/10/2025
P1.0812B,15811479,-690.44,23:29:45,02/10/2025
P1.0815,24820544,45.76,23:29:45,02/10/2025
P1.0816,15811537,202.90,23:29:45,02/10/2025
P1.0817,15813314,155.91,23:29:45,02/10/2025
P1.0901,16840542,158.96,22:20:32,02/10/2025
P1.0902,24820479,24.06,22:20:32,02/10/2025
P1.0903,15811686,217.50,22:20:32,02/10/2025
P1.0904,15813610,96.04,22:20:32,02/10/2025
P1.0905,15811520,174.71,22:20:32,02/10/2025
P1.0906,15813605,2.77,22:20:32,02/10/2025
P1.0907,15813608,166.25,22:20:32,02/10/2025
P1.0908,15811518,74.25,22:20:32,02/10/2025
P1.0909,17805124,11.82,22:20:32,02/10/2025
P1.0910,15813602,0.55,23:29:45,02/10/2025
P1.0911,15813623,97.27,23:29:45,02/10/2025
P1.0912,15811698,86.90,23:29:45,02/10/2025
P1.0912A,21719204,99.05,23:29:45,02/10/2025
P1.0912B,15813616,52.46,23:29:45,02/10/2025
P1.0915,15813624,15.17,23:29:45,02/10/2025
P1.0916,K L?P NN,0.00,23:29:45,02/10/2025
P1.0917,15813625,84.17,23:29:45,02/10/2025
P1.1001,17805150,69.18,12:12:28,02/10/2025
P1.1002,23845259,51.67,12:12:28,02/10/2025
P1.1003,15811514,17.12,12:12:28,02/10/2025
P1.1004,15811506,357.70,12:12:28,02/10/2025
P1.1005,15811507,27.71,12:12:28,02/10/2025
P1.1006,24831351,12.70,12:12:28,02/10/2025
P1.1007,15811513,296.13,12:12:28,02/10/2025
P1.1008,15811512,137.88,12:12:28,02/10/2025
P1.1009,24820454,19.31,12:12:28,02/10/2025
P1.1010,15813329,4.98,23:29:45,02/10/2025
P1.1011,16827096,26.07,23:29:45,02/10/2025
P1.1012,16839043,18.86,23:29:45,02/10/2025
P1.1012A,16827095,255.65,23:29:45,02/10/2025
P1.1012B,16827079,8.07,23:29:45,02/10/2025
P1.1015,16839012,93.49,23:29:45,02/10/2025
P1.1016,16839045,274.55,23:29:45,02/10/2025
P1.1017,15811517,161.81,23:29:45,02/10/2025
P1.1101,15811681,422.21,12:12:28,02/10/2025
P1.1102,15813604,278.30,12:12:28,02/10/2025
P1.1103,15813597,277.52,12:12:28,02/10/2025
P1.1104,15813596,17.24,12:12:28,02/10/2025
P1.1105,24831113,0.93,12:12:28,02/10/2025
P1.1106,15813591,339.43,12:12:28,02/10/2025
P1.1107,15813599,15.40,12:12:28,02/10/2025
P1.1108,15812945,308.41,12:12:28,02/10/2025
P1.1109,15813598,396.36,12:12:28,02/10/2025
P1.1110,15811739,184.40,21:01:19,02/10/2025
P1.1111,15811508,199.79,21:01:19,02/10/2025
P1.1112,15811502,214.70,21:01:19,02/10/2025
P1.1112A,15811736,182.65,21:01:19,02/10/2025
P1.1112B,15811737,51.27,21:01:19,02/10/2025
P1.1115,15811503,0.00,21:01:19,02/10/2025
P1.1116,24831115,95.52,21:01:19,02/10/2025
P1.1117,15811509,40.67,21:01:19,02/10/2025
P1.1201,24831110,0.78,12:12:28,02/10/2025
P1.1202,15813594,39.03,12:12:28,02/10/2025
P1.1203,15811702,237.14,12:12:28,02/10/2025
P1.1204,15811703,44.14,12:12:28,02/10/2025
P1.1205,15811704,262.38,12:12:28,02/10/2025
P1.1206,24831123,0.45,12:12:28,02/10/2025
P1.1207,15811701,281.19,12:12:28,02/10/2025
P1.1208,15813593,65.92,12:12:28,02/10/2025
P1.1209,16827103,0.05,12:12:28,02/10/2025
P1.1210,15811740,545.28,21:01:19,02/10/2025
P1.1211,24831124,12.73,21:01:19,02/10/2025
P1.1212,24831128,58.63,21:01:19,02/10/2025
P1.1212A,24820585,37.31,21:01:19,02/10/2025
P1.1212B,16839010,234.86,21:01:19,02/10/2025
P1.1215,15811501,114.10,21:01:19,02/10/2025
P1.1216,15811734,423.51,21:01:19,02/10/2025
P1.1217,15811735,102.33,21:01:19,02/10/2025
P1.12A01,15811682,262.94,12:12:28,02/10/2025
P1.12A02,15812941,198.17,12:12:28,02/10/2025
P1.12A03,15811694,234.73,12:12:28,02/10/2025
P1.12A04,15813626,218.50,12:12:28,02/10/2025
P1.12A05,15811693,9.73,12:12:28,02/10/2025
P1.12A06,15813628,-29.66,12:12:28,02/10/2025
P1.12A07,15813627,14.75,12:12:28,02/10/2025
P1.12A08,15812949,443.12,12:12:28,02/10/2025
P1.12A09,15812942,31.92,12:12:28,02/10/2025
P1.12A10,23845685,58.43,21:01:19,02/10/2025
P1.12A11,15810257,85.24,21:01:19,02/10/2025
P1.12A12,25803531,112.15,21:01:19,02/10/2025
P1.12A12A,24831118,216.76,21:01:19,02/10/2025
P1.12A12B,15811535,270.81,21:01:19,02/10/2025
P1.12A15,15813606,277.39,21:01:19,02/10/2025
P1.12A16,25803529,743.04,21:01:19,02/10/2025
P1.12A17,15813611,90.45,21:01:19,02/10/2025
P1.12B01,NULL,35.60,12:12:28,02/10/2025
P1.12B02,15812947,28.75,12:12:28,02/10/2025
P1.12B03,15811710,39.26,12:12:28,02/10/2025
P1.12B04,23845480,67.17,12:12:28,02/10/2025
P1.12B05,24820616,45.57,12:12:28,02/10/2025
P1.12B06,24820564,162.59,12:12:28,02/10/2025
P1.12B07,24820625,32.89,12:12:28,02/10/2025
P1.12B08,15812943,175.74,12:12:28,02/10/2025
P1.12B09,15812948,64.83,12:12:28,02/10/2025
P1.12B10,23845613,7.84,21:01:19,02/10/2025
P1.12B11,16827090,47.72,21:01:19,02/10/2025
P1.12B12,16827091,87.54,21:01:19,02/10/2025
P1.12B12A,16839009,489.85,21:01:19,02/10/2025
P1.12B12B,15811687,396.26,21:01:19,02/10/2025
P1.12B15,24820565,31.17,21:01:19,02/10/2025
P1.12B16,15813615,94.31,21:01:19,02/10/2025
P1.12B17,15813601,35.30,21:01:19,02/10/2025
P1.1501,15812568,14.97,12:12:28,02/10/2025
P1.1502,15812567,122.47,12:12:28,02/10/2025
P1.1503,15812561,47.80,12:12:28,02/10/2025
P1.1504,15812935,562.35,12:12:28,02/10/2025
P1.1505,15812570,190.89,12:12:28,02/10/2025
P1.1506,15812569,9.69,12:12:28,02/10/2025
P1.1507,15811690,20.57,12:12:28,02/10/2025
P1.1508,15812565,583.88,12:12:28,02/10/2025
P1.1509,15812566,239.35,12:12:28,02/10/2025
P1.1510,16827083,16.99,21:01:19,02/10/2025
P1.1511,15812940,253.69,21:01:19,02/10/2025
P1.1512,24831119,26.93,21:01:19,02/10/2025
P1.1512A,15811720,8.12,21:01:19,02/10/2025
P1.1512B,15811989,26.18,21:01:19,02/10/2025
P1.1515,23845617,38.33,21:01:19,02/10/2025
P1.1516,15811691,102.44,21:01:19,02/10/2025
P1.1517,15811713,405.76,21:01:19,02/10/2025
P1.1601,15812562,267.26,12:12:28,02/10/2025
P1.1602,24831117,1.47,12:12:28,02/10/2025
P1.1603,15811510,16.76,12:12:28,02/10/2025
P1.1604,15811521,473.47,12:12:28,02/10/2025
P1.1605,15811522,385.15,12:12:28,02/10/2025
P1.1606,23845702,13.37,12:12:28,02/10/2025
P1.1607,15811534,38.91,12:12:28,02/10/2025
P1.1608,15812564,302.11,12:12:28,02/10/2025
P1.1609,15811667,93.93,12:12:28,02/10/2025
P1.1610,15811711,283.35,21:01:19,02/10/2025
P1.1611,15811699,363.55,21:01:19,02/10/2025
P1.1612,16802479,354.91,21:01:19,02/10/2025
P1.1612A,16802475,7.79,21:01:19,02/10/2025
P1.1612B,17805012,121.81,21:01:19,02/10/2025
P1.1615,16802468,0.69,21:01:19,02/10/2025
P1.1616,15811700,64.93,21:01:19,02/10/2025
P1.1617,15811692,537.76,21:01:19,02/10/2025
P1.1701,23845605,14.23,12:12:28,02/10/2025
P1.1702,23845612,45.68,12:12:28,02/10/2025
P1.1703,15811664,81.91,12:12:28,02/10/2025
P1.1704,15811663,60.40,12:12:28,02/10/2025
P1.1705,15811662,460.44,12:12:28,02/10/2025
P1.1706,15811680,0.12,12:12:28,02/10/2025
P1.1707,15811661,291.28,12:12:28,02/10/2025
P1.1708,15811670,447.35,12:12:28,02/10/2025
P1.1709,15811669,133.26,12:12:28,02/10/2025
P1.1710,16827087,79.68,21:01:19,02/10/2025
P1.1711,15811452,411.23,21:01:19,02/10/2025
P1.1712,23845705,73.81,21:01:19,02/10/2025
P1.1712A,15811532,649.01,21:01:19,02/10/2025
P1.1712B,16827160,245.12,21:01:19,02/10/2025
P1.1715,15812552,26.25,21:01:19,02/10/2025
P1.1716,25803542,77.36,21:01:19,02/10/2025
P1.1717,15811458,40.98,21:01:19,02/10/2025
P1.1801,15812559,333.09,23:31:38,02/10/2025
P1.1802,15812560,388.83,23:31:38,02/10/2025
P1.1803,15812556,12.85,23:31:38,02/10/2025
P1.1804,15812555,0.00,23:31:38,02/10/2025
P1.1805,15811679,26.13,23:31:38,02/10/2025
P1.1806,15811678,0.00,23:31:38,02/10/2025
P1.1807,15812554,148.39,23:31:38,02/10/2025
P1.1808,15812557,476.58,23:31:38,02/10/2025
P1.1809,15812558,0.00,23:31:38,02/10/2025
P1.1810,15811451,12.78,21:01:19,02/10/2025
P1.1811,15811524,0.00,21:01:19,02/10/2025
P1.1812,15811500,116.25,21:01:19,02/10/2025
P1.1812A,15812551,1.61,21:01:19,02/10/2025
P1.1812B,16802466,33.56,21:01:19,02/10/2025
P1.1815,25803575,2.87,21:01:19,02/10/2025
P1.1816,15811491,520.49,21:01:19,02/10/2025
P1.1817,25803548,43.11,21:01:19,02/10/2025
P1.1901,15811671,26.17,23:31:38,02/10/2025
P1.1902,23845582,20.95,23:31:38,02/10/2025
P1.1903,23845249,25.03,23:31:38,02/10/2025
P1.1904,15811675,30.83,23:31:38,02/10/2025
P1.1905,15811674,125.57,23:31:38,02/10/2025
P1.1906,15811673,34.94,23:31:38,02/10/2025
P1.1907,15811677,181.41,23:31:38,02/10/2025
P1.1908,15812919,299.76,23:31:38,02/10/2025
P1.1909,23845688,27.63,23:31:38,02/10/2025
P1.1910,25803372,18.67,21:01:19,02/10/2025
P1.1911,15811456,37.87,21:01:19,02/10/2025
P1.1912,24831126,137.82,21:01:19,02/10/2025
P1.1912A,25803598,605.88,21:01:19,02/10/2025
P1.1912B,15811439,0.19,21:01:19,02/10/2025
P1.1915,15811438,98.67,21:01:19,02/10/2025
P1.1916,15811440,414.43,21:01:19,02/10/2025
P1.1917,15811455,365.47,21:01:19,02/10/2025
P1.2001,15812915,2.93,23:31:38,02/10/2025
P1.2002,15812914,32.66,23:31:38,02/10/2025
P1.2003,15812938,2.82,23:31:38,02/10/2025
P1.2004,23845611,3.98,23:31:38,02/10/2025
P1.2005,15812939,0.88,23:31:38,02/10/2025
P1.2006,15812932,224.09,23:31:38,02/10/2025
P1.2007,15812934,187.77,23:31:38,02/10/2025
P1.2008,15812924,34.69,23:31:38,02/10/2025
P1.2009,23845243,29.42,23:31:38,02/10/2025
P1.2010,15811446,57.57,23:31:20,02/10/2025
P1.2011,15811450,0.00,23:31:20,02/10/2025
P1.2012,15811445,252.34,23:31:20,02/10/2025
P1.2012A,15811431,24.99,23:31:20,02/10/2025
P1.2012B,15811447,129.70,23:31:20,02/10/2025
P1.2015,24818870,34.12,23:31:20,02/10/2025
P1.2016,16802469,16.64,23:31:20,02/10/2025
P1.2017,23845625,58.13,23:31:20,02/10/2025
P1.2101,14504432,220.99,12:13:54,02/10/2025
P1.2102,14504438,13.71,12:13:54,02/10/2025
P1.2103,14504440,37.10,12:13:54,02/10/2025
P1.2104,14504439,27.07,12:13:54,02/10/2025
P1.2105,14504434,236.96,12:13:54,02/10/2025
P1.2106,23845589,92.44,12:13:54,02/10/2025
P1.2107,14504435,202.78,12:13:54,02/10/2025
P1.2108,14504436,18.80,12:13:54,02/10/2025
P1.2109,14504437,38.16,12:13:54,02/10/2025
P1.2110,23845595,43.62,23:31:20,02/10/2025
P1.2111,15811539,-182.44,23:31:20,02/10/2025
P1.2112,24820630,345.15,23:31:20,02/10/2025
P1.2112A,25803657,45.94,23:31:20,02/10/2025
P1.2112B,23845626,27.14,23:31:20,02/10/2025
P1.2115,24820643,545.97,23:31:20,02/10/2025
P1.2116,15811528,529.44,23:31:20,02/10/2025
P1.2117,15812576,-72.29,23:31:20,02/10/2025
P1.2201,14504418,466.18,12:13:54,02/10/2025
P1.2202,14504413,301.03,12:13:54,02/10/2025
P1.2203,14504431,53.21,12:13:54,02/10/2025
P1.2204,24820474,16.19,12:13:54,02/10/2025
P1.2205,14504412,218.77,12:13:54,02/10/2025
P1.2206,14504416,215.02,12:13:54,02/10/2025
P1.2207,14504411,11.22,12:13:54,02/10/2025
P1.2208,25803588,30.43,12:13:54,02/10/2025
P1.2209,14504419,-134.42,12:13:54,02/10/2025
P1.2210,15811429,106.47,23:31:20,02/10/2025
P1.2211,18707592,11.12,22:38:59,02/10/2025
P1.2212,15811423,18.02,23:31:20,02/10/2025
P1.2212A,15811536,14.34,23:31:20,02/10/2025
P1.2212B,15812911,10.09,23:31:20,02/10/2025
P1.2215,15811430,101.40,23:31:20,02/10/2025
P1.2216,23845618,28.41,23:31:20,02/10/2025
P1.2217,24820665,55.54,23:31:20,02/10/2025
P1.2301,15811988,73.52,12:13:54,02/10/2025
P1.2302,15811970,19.07,12:13:54,02/10/2025
P1.2303,15811523,10.55,12:13:54,02/10/2025
P1.2304,24820563,67.50,12:13:54,02/10/2025
P1.2305,24831131,0.27,12:13:54,02/10/2025
P1.2306,15811981,0.90,12:13:54,02/10/2025
P1.2307,14504415,14.11,12:13:54,02/10/2025
P1.2308,23845247,14.18,12:13:54,02/10/2025
P1.2309,15811969,7.67,12:13:54,02/10/2025
P1.2310,15814156,414.21,23:31:20,02/10/2025
P1.2311,23845686,67.30,23:31:20,02/10/2025
P1.2312,15812574,181.85,23:31:20,02/10/2025
P1.2312A,24820685,166.26,23:31:20,02/10/2025
P1.2312B,23845701,40.10,23:31:20,02/10/2025
P1.2315,15811442,458.68,23:31:20,02/10/2025
P1.2316,24820305,25.69,23:31:20,02/10/2025
P1.2317,15814159,555.49,23:31:20,02/10/2025
P1.2401,15811903,20.32,12:13:54,02/10/2025
P1.2402,24831133,100000.03,12:13:54,02/10/2025
P1.2403,14504401,87.64,12:13:54,02/10/2025
P1.2404,14504402,21.60,12:13:54,02/10/2025
P1.2405,23845583,1.64,12:13:54,02/10/2025
P1.2406,23845691,57.06,12:13:54,02/10/2025
P1.2407,24820613,45.29,12:13:54,02/10/2025
P1.2408,17805041,6.94,12:13:54,02/10/2025
P1.2409,15811987,24.15,12:13:54,02/10/2025
P1.2410,15814152,445.66,23:31:20,02/10/2025
P1.2411,15811727,1.08,23:31:20,02/10/2025
P1.2412,16839014,382.32,23:31:20,02/10/2025
P1.2412A,15814167,329.30,23:31:20,02/10/2025
P1.2412B,15811726,241.36,23:31:20,02/10/2025
P1.2415,23845581,188.79,23:31:20,02/10/2025
P1.2416,16802471,60.62,23:31:20,02/10/2025
P1.2417,16802470,166.19,23:31:20,02/10/2025
P1.2501,14504426,9.19,12:13:54,02/10/2025
P1.2502,15811428,318.78,12:13:54,02/10/2025
P1.2503,16827092,124.13,12:13:54,02/10/2025
P1.2504,14504405,9.68,12:13:54,02/10/2025
P1.2505,16839025,12.08,12:13:54,02/10/2025
P1.2506,14504404,6.06,12:13:54,02/10/2025
P1.2507,14504428,12.86,12:13:54,02/10/2025
P1.2508,23845580,57.43,12:13:54,02/10/2025
P1.2509,16827080,191.38,12:13:54,02/10/2025
P1.2510,15811979,16.00,23:31:20,02/10/2025
P1.2511,15814190,521.27,23:31:20,02/10/2025
P1.2512,23845255,59.70,23:31:20,02/10/2025
P1.2512A,23845483,15.13,23:31:20,02/10/2025
P1.2512B,15811973,8.35,23:31:20,02/10/2025
P1.2515,16827081,8.61,23:31:20,02/10/2025
P1.2516,15811730,61.53,23:31:20,02/10/2025
P1.2517,15814184,90.02,23:31:20,02/10/2025
P1.2601,23845689,18.49,12:13:54,02/10/2025
P1.2602,14504422,36.94,12:13:54,02/10/2025
P1.2603,16802291,92.26,12:13:54,02/10/2025
P1.2604,14504427,143.79,12:13:54,02/10/2025
P1.2605,14504423,358.55,12:13:54,02/10/2025
P1.2606,14504421,45.71,12:13:54,02/10/2025
P1.2607,14504429,23.70,12:13:54,02/10/2025
P1.2608,23845690,135.06,12:13:54,02/10/2025
P1.2609,24818871,81.22,12:13:54,02/10/2025
P1.2610,24831136,33.13,23:31:20,02/10/2025
P1.2611,15814182,371.19,23:31:20,02/10/2025
P1.2612,15814181,236.90,23:31:20,02/10/2025
P1.2612A,15814189,325.25,23:31:20,02/10/2025
P1.2612B,15814160,89.22,23:31:20,02/10/2025
P1.2615,15811729,495.05,23:31:20,02/10/2025
P1.2616,24820568,101.51,23:31:20,02/10/2025
P1.2617,15814183,100000.00,23:31:20,02/10/2025
P1.2701,15814168,29.12,12:13:54,02/10/2025
P1.2702,15814163,4.21,12:13:54,02/10/2025
P1.2703,15814165,150.58,12:13:54,02/10/2025
P1.2704,15814180,138.08,12:13:54,02/10/2025
P1.2705,15814174,75.34,12:13:54,02/10/2025
P1.2706,15814175,37.31,12:13:54,02/10/2025
P1.2707,15814170,65.97,12:13:54,02/10/2025
P1.2708,16826174,70.89,12:13:54,02/10/2025
P1.2709,15814169,155.81,12:13:54,02/10/2025
P1.2710,15811964,0.00,23:31:20,02/10/2025
P1.2711,15814153,85.50,23:31:20,02/10/2025
P1.2712,15812584,83.50,23:31:20,02/10/2025
P1.2712A,15812586,328.31,23:31:20,02/10/2025
P1.2712B,15812578,-32.62,23:31:20,02/10/2025
P1.2715,23845680,28.74,23:31:20,02/10/2025
P1.2716,25803599,0.00,23:31:20,02/10/2025
P1.2717,15812581,186.90,23:31:20,02/10/2025
P1.2801,15812577,60.88,12:13:54,02/10/2025
P1.2802,15814176,13.86,12:13:54,02/10/2025
P1.2803,15812573,0.00,12:13:54,02/10/2025
P1.2804,15814177,312.96,12:13:54,02/10/2025
P1.2805,15814173,0.00,12:13:54,02/10/2025
P1.2806,15814178,41.57,12:13:54,02/10/2025
P1.2807,15814179,14.51,12:13:54,02/10/2025
P1.2808,16826174,213.92,12:13:54,02/10/2025
P1.2809,15814172,21.75,12:13:54,02/10/2025
P1.2810,15814185,40.97,21:44:17,02/10/2025
P1.2811,25803653,6.59,21:44:58,02/10/2025
P1.2812,15811963,32.97,23:31:20,02/10/2025
P1.2812A,15812572,275.01,23:31:20,02/10/2025
P1.2812B,15811966,643.99,23:31:20,02/10/2025
P1.2815,15812587,16.46,23:31:20,02/10/2025
P1.2816,15812580,543.91,23:31:20,02/10/2025
P1.2817,24820680,29.00,23:31:20,02/10/2025
